Year,Annual,
1913,9.8
1914,10.0
1915,10.1
1916,10.4
1917,11.7
1918,14.0
1919,16.5
1920,19.3
1921,19.0
1922,16.9
1923,16.8
1924,17.3
1925,17.3
1926,17.9
1927,17.5
1928,17.3
1929,17.1
1930,17.1
1931,15.9
1932,14.3
1933,12.9
1934,13.2
1935,13.6
1936,13.8
1937,14.1
1938,14.2
1939,14.0
1940,13.9
1941,14.1
1942,15.7
1943,16.9
1944,17.4
1945,17.8
1946,18.2
1947,21.5
1948,23.7
1949,24.0
1950,23.5
1951,25.4
1952,26.5
1953,26.6
1954,26.9
1955,26.7
1956,26.8
1957,27.6
1958,28.6
1959,29.0
1960,29.3
1961,29.8
1962,30.0
1963,30.4
1964,30.9
1965,31.2
1966,31.8
1967,32.9
1968,34.1
1969,35.6
1970,37.8
1971,39.8
1972,41.1
1973,42.6
1974,46.6
1975,52.1
1976,55.6
1977,58.5
1978,62.5
1979,68.3
1980,77.8
1981,87.0
1982,94.3
1983,97.8
1984,101.9
1985,105.5
1986,109.6
1987,111.2
1988,115.7
1989,121.1
1990,127.4
1991,134.6
1992,138.1
1993,142.6
1994,146.2
1995,150.3
1996,154.4
1997,159.1
1998,161.6
1999,164.3
2000,168.8
2001,175.1
2002,177.1
2003,181.7
2004,185.2
2005,190.7
2006,198.3
2007,202.416
2008,211.080
2009,211.143
2010,216.687
2011,220.223
2012,226.665
2013,230.280
2014,233.916